Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month
2023-05-31,Williamson,TX,Passenger,0.0,1.0,1.0,53.0,54.0,1.85,2023,5
2021-05-31,Flathead,MT,Passenger,1.0,0.0,1.0,51.0,52.0,1.92,2021,5
2018-07-31,Lumpkin,GA,Passenger,1.0,0.0,1.0,7.0,8.0,12.5,2018,7
2021-08-31,Stevens,WA,Passenger,48.0,44.0,92.0,30264.0,30356.0,0.3,2021,8
2018-06-30,Clark,WA,Truck,0.0,0.0,0.0,79115.0,79115.0,0.0,2018,6
2023-06-30,Mason,WA,Truck,11.0,0.0,11.0,20726.0,20737.0,0.05,2023,6
2019-12-31,King,WA,Truck,6.0,1.0,7.0,182187.0,182194.0,0.0,2019,12
2022-08-31,Providence,RI,Passenger,1.0,0.0,1.0,21.0,22.0,4.55,2022,8
2017-07-31,Hardin,KY,Passenger,0.0,1.0,1.0,116.0,117.0,0.85,2017,7
2021-11-30,Charleston,SC,Passenger,2.0,1.0,3.0,85.0,88.0,3.41,2021,11
2021-11-30,Santa Cruz,CA,Passenger,1.0,0.0,1.0,27.0,28.0,3.57,2021,11
2021-04-30,Hawaii,HI,Passenger,1.0,0.0,1.0,54.0,55.0,1.82,2021,4
2020-06-30,Hamilton,IN,Passenger,1.0,0.0,1.0,42.0,43.0,2.33,2020,6
2022-09-30,Kootenai,ID,Truck,1.0,0.0,1.0,35.0,36.0,2.78,2022,9
2021-05-31,Sumter,FL,Passenger,0.0,1.0,1.0,10.0,11.0,9.09,2021,5
2020-10-31,Dallas,IA,Passenger,0.0,1.0,1.0,10.0,11.0,9.09,2020,10
2018-04-30,Lake,CA,Passenger,0.0,1.0,1.0,8.0,9.0,11.11,2018,4
2017-05-31,DeKalb,IN,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2017,5
2020-10-31,Yakima,WA,Passenger,158.0,122.0,280.0,166853.0,167133.0,0.17,2020,10
2019-10-31,Spokane,WA,Passenger,615.0,464.0,1079.0,314266.0,315345.0,0.34,2019,10
2022-12-31,Los Angeles,CA,Passenger,4.0,6.0,10.0,747.0,757.0,1.32,2022,12
2020-11-30,Maricopa,AZ,Passenger,5.0,9.0,14.0,1424.0,1438.0,0.97,2020,11
2021-11-30,Burlington,NJ,Passenger,0.0,1.0,1.0,121.0,122.0,0.82,2021,11
2022-10-31,Solano,CA,Passenger,2.0,0.0,2.0,157.0,159.0,1.26,2022,10
2017-10-31,Gwinnett,GA,Passenger,0.0,1.0,1.0,88.0,89.0,1.12,2017,10
2021-10-31,Montgomery,PA,Passenger,2.0,0.0,2.0,24.0,26.0,7.69,2021,10
2017-02-28,Madison,ID,Passenger,1.0,0.0,1.0,44.0,45.0,2.22,2017,2
2022-07-31,Columbia,OR,Passenger,1.0,0.0,1.0,17.0,18.0,5.56,2022,7
2021-08-31,Snohomish,WA,Truck,1.0,0.0,1.0,125976.0,125977.0,0.0,2021,8
2017-09-30,Lewis,WA,Passenger,53.0,40.0,93.0,56024.0,56117.0,0.17,2017,9
2023-06-30,Garfield,WA,Passenger,1.0,3.0,4.0,1304.0,1308.0,0.31,2023,6
2019-07-31,Walla Walla,WA,Passenger,52.0,61.0,113.0,36204.0,36317.0,0.31,2019,7
2020-08-31,Skamania,WA,Passenger,31.0,21.0,52.0,8370.0,8422.0,0.62,2020,8
2018-05-31,St. Clair,IL,Passenger,0.0,1.0,1.0,156.0,157.0,0.64,2018,5
2019-12-31,Bexar,TX,Passenger,0.0,5.0,5.0,669.0,674.0,0.74,2019,12
2022-03-31,Sarpy,NE,Passenger,1.0,0.0,1.0,63.0,64.0,1.56,2022,3
2022-09-30,Allen,IN,Passenger,1.0,0.0,1.0,18.0,19.0,5.26,2022,9
2023-01-31,Bryan,GA,Passenger,0.0,1.0,1.0,33.0,34.0,2.94,2023,1
2018-06-30,Adams,WA,Truck,0.0,0.0,0.0,5163.0,5163.0,0.0,2018,6
2019-01-31,Clark,WA,Truck,0.0,0.0,0.0,79956.0,79956.0,0.0,2019,1
2017-05-31,Jefferson,WA,Passenger,103.0,59.0,162.0,23819.0,23981.0,0.68,2017,5
2023-04-30,Kittitas,WA,Truck,8.0,0.0,8.0,14540.0,14548.0,0.05,2023,4
2017-09-30,Alameda,CA,Passenger,0.0,1.0,1.0,356.0,357.0,0.28,2017,9
2022-03-31,Skagit,WA,Passenger,730.0,326.0,1056.0,90428.0,91484.0,1.15,2022,3
2022-06-30,Escambia,FL,Passenger,0.0,1.0,1.0,144.0,145.0,0.69,2022,6
2020-09-30,Walla Walla,WA,Truck,0.0,0.0,0.0,13788.0,13788.0,0.0,2020,9
2019-05-31,Cook,IL,Passenger,1.0,0.0,1.0,248.0,249.0,0.4,2019,5
2017-12-31,Montgomery,PA,Passenger,1.0,0.0,1.0,39.0,40.0,2.5,2017,12
2021-01-31,Columbia,OR,Passenger,1.0,0.0,1.0,24.0,25.0,4.0,2021,1
2020-07-31,Asotin,WA,Passenger,16.0,12.0,28.0,12375.0,12403.0,0.23,2020,7
2017-11-30,Columbia,WA,Truck,0.0,0.0,0.0,1538.0,1538.0,0.0,2017,11
2020-09-30,Garfield,WA,Truck,0.0,0.0,0.0,985.0,985.0,0.0,2020,9
2017-01-31,Pima,AZ,Passenger,0.0,2.0,2.0,477.0,479.0,0.42,2017,1
2020-06-30,Williams,ND,Passenger,0.0,1.0,1.0,11.0,12.0,8.33,2020,6
2023-02-28,Lee,AL,Passenger,1.0,0.0,1.0,14.0,15.0,6.67,2023,2
2021-09-30,Meade,KY,Passenger,1.0,0.0,1.0,25.0,26.0,3.85,2021,9
2023-04-30,Dorchester,SC,Passenger,1.0,0.0,1.0,51.0,52.0,1.92,2023,4
2022-05-31,Leavenworth,KS,Passenger,0.0,1.0,1.0,104.0,105.0,0.95,2022,5
2022-10-31,Fairfax,VA,Passenger,7.0,3.0,10.0,617.0,627.0,1.59,2022,10
2023-03-31,Norfolk,VA,Passenger,3.0,2.0,5.0,280.0,285.0,1.75,2023,3
2017-09-30,Portsmouth,VA,Passenger,0.0,1.0,1.0,64.0,65.0,1.54,2017,9
2022-12-31,San Juan,WA,Passenger,559.0,170.0,729.0,13892.0,14621.0,4.99,2022,12
2023-03-31,Prince William,VA,Passenger,1.0,2.0,3.0,174.0,177.0,1.69,2023,3
2022-11-30,Portsmouth,VA,Passenger,0.0,1.0,1.0,82.0,83.0,1.2,2022,11
2022-01-31,Spartanburg,SC,Passenger,0.0,1.0,1.0,48.0,49.0,2.04,2022,1
2022-12-31,Anne Arundel,MD,Passenger,3.0,3.0,6.0,311.0,317.0,1.89,2022,12
2019-10-31,Douglas,NE,Passenger,0.0,1.0,1.0,61.0,62.0,1.61,2019,10
2018-11-30,Brevard,FL,Passenger,0.0,1.0,1.0,97.0,98.0,1.02,2018,11
2022-07-31,Las Animas,CO,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2022,7
2022-11-30,Okanogan,WA,Truck,2.0,0.0,2.0,16455.0,16457.0,0.01,2022,11
2020-06-30,Columbia,WA,Truck,0.0,0.0,0.0,1531.0,1531.0,0.0,2020,6
2022-01-31,Calvert,MD,Passenger,0.0,2.0,2.0,81.0,83.0,2.41,2022,1
2022-03-31,Multnomah,OR,Passenger,1.0,4.0,5.0,601.0,606.0,0.83,2022,3
2021-06-30,Marion,IA,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2021,6
2020-11-30,Washoe,NV,Passenger,1.0,0.0,1.0,108.0,109.0,0.92,2020,11
2019-11-30,Suffolk,MA,Passenger,0.0,1.0,1.0,37.0,38.0,2.63,2019,11
2021-07-31,Carroll,NH,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2021,7
2023-04-30,Middlesex,NJ,Passenger,1.0,0.0,1.0,18.0,19.0,5.26,2023,4
2021-12-31,Island,WA,Truck,0.0,0.0,0.0,21488.0,21488.0,0.0,2021,12
2019-04-30,Kootenai,ID,Passenger,1.0,1.0,2.0,216.0,218.0,0.92,2019,4
2019-05-31,Grant,WA,Passenger,39.0,59.0,98.0,64554.0,64652.0,0.15,2019,5
2022-08-31,Berkeley,SC,Passenger,0.0,1.0,1.0,117.0,118.0,0.85,2022,8
2019-10-31,Lee,FL,Passenger,1.0,0.0,1.0,53.0,54.0,1.85,2019,10
2021-07-31,Larimer,CO,Passenger,1.0,0.0,1.0,49.0,50.0,2.0,2021,7
2019-02-28,San Francisco,CA,Passenger,2.0,1.0,3.0,119.0,122.0,2.46,2019,2
2022-09-30,Charleston,SC,Passenger,2.0,2.0,4.0,65.0,69.0,5.8,2022,9
2020-07-31,Ulster,NY,Passenger,1.0,0.0,1.0,12.0,13.0,7.69,2020,7
2019-10-31,Osceola,FL,Passenger,1.0,0.0,1.0,41.0,42.0,2.38,2019,10
2023-03-31,Hamilton,OH,Truck,1.0,0.0,1.0,3.0,4.0,25.0,2023,3
2021-06-30,Randolph,NC,Passenger,1.0,0.0,1.0,8.0,9.0,11.11,2021,6
2021-10-31,Snohomish,WA,Passenger,6649.0,2195.0,8844.0,538559.0,547403.0,1.62,2021,10
2022-10-31,Jefferson,WA,Passenger,465.0,225.0,690.0,24396.0,25086.0,2.75,2022,10
2022-06-30,Douglas,WA,Truck,0.0,0.0,0.0,12783.0,12783.0,0.0,2022,6
2022-06-30,Duval,FL,Passenger,0.0,2.0,2.0,290.0,292.0,0.68,2022,6
2023-10-31,Lane,OR,Passenger,0.0,2.0,2.0,58.0,60.0,3.33,2023,10
2017-07-31,Multnomah,OR,Passenger,1.0,3.0,4.0,953.0,957.0,0.42,2017,7
2018-08-31,San Mateo,CA,Passenger,1.0,1.0,2.0,137.0,139.0,1.44,2018,8
2020-06-30,Kitsap,WA,Truck,0.0,0.0,0.0,54049.0,54049.0,0.0,2020,6
2021-04-30,Suffolk,MA,Passenger,0.0,2.0,2.0,34.0,36.0,5.56,2021,4
2023-02-28,Sumter,SC,Passenger,0.0,1.0,1.0,37.0,38.0,2.63,2023,2
2021-06-30,Ulster,NY,Passenger,1.0,0.0,1.0,13.0,14.0,7.14,2021,6
2019-06-30,Putnam,TN,Passenger,0.0,1.0,1.0,3.0,4.0,25.0,2019,6
2023-08-31,Hamilton,OH,Truck,1.0,0.0,1.0,3.0,4.0,25.0,2023,8
2022-01-31,Randolph,NC,Passenger,1.0,0.0,1.0,6.0,7.0,14.29,2022,1
2023-04-30,Lane,OR,Passenger,0.0,2.0,2.0,82.0,84.0,2.38,2023,4
2017-11-30,Riverside,CA,Passenger,1.0,2.0,3.0,744.0,747.0,0.4,2017,11
2019-05-31,Chelan,WA,Truck,0.0,0.0,0.0,22241.0,22241.0,0.0,2019,5
2020-08-31,Franklin,WA,Truck,0.0,0.0,0.0,20182.0,20182.0,0.0,2020,8
2020-03-31,Denver,CO,Passenger,1.0,0.0,1.0,124.0,125.0,0.8,2020,3
2023-05-31,Yolo,CA,Passenger,1.0,0.0,1.0,22.0,23.0,4.35,2023,5
2023-04-30,Fairbanks North Star,AK,Passenger,0.0,1.0,1.0,52.0,53.0,1.89,2023,4
2020-04-30,Juneau,AK,Passenger,0.0,2.0,2.0,31.0,33.0,6.06,2020,4
2020-07-31,Grays Harbor,WA,Passenger,109.0,112.0,221.0,48275.0,48496.0,0.46,2020,7
2017-04-30,Multnomah,OR,Passenger,0.0,3.0,3.0,1068.0,1071.0,0.28,2017,4
2018-08-31,Portsmouth,VA,Passenger,0.0,1.0,1.0,76.0,77.0,1.3,2018,8
2024-02-29,Kitsap,WA,Truck,119.0,0.0,119.0,49928.0,50047.0,0.24,2024,2
2018-12-31,Grays Harbor,WA,Truck,0.0,0.0,0.0,20354.0,20354.0,0.0,2018,12
2017-07-31,San Juan,WA,Truck,0.0,0.0,0.0,5545.0,5545.0,0.0,2017,7
2022-01-31,Benton,WA,Passenger,652.0,453.0,1105.0,135875.0,136980.0,0.81,2022,1
2019-04-30,Palm Beach,FL,Passenger,0.0,2.0,2.0,90.0,92.0,2.17,2019,4
2022-06-30,San Luis Obispo,CA,Passenger,1.0,0.0,1.0,60.0,61.0,1.64,2022,6
2023-10-31,Polk,OR,Passenger,1.0,1.0,2.0,12.0,14.0,14.29,2023,10
2023-02-28,Maui,HI,Passenger,1.0,0.0,1.0,24.0,25.0,4.0,2023,2
2023-02-28,Harford,MD,Passenger,1.0,1.0,2.0,42.0,44.0,4.55,2023,2
2019-10-31,Clallam,WA,Truck,1.0,0.0,1.0,21840.0,21841.0,0.0,2019,10
2017-11-30,Thurston,WA,Truck,0.0,0.0,0.0,53690.0,53690.0,0.0,2017,11
2020-12-31,Charles,MD,Passenger,1.0,1.0,2.0,74.0,76.0,2.63,2020,12
2022-04-30,York,VA,Passenger,1.0,0.0,1.0,91.0,92.0,1.09,2022,4
2023-11-30,Newport News,VA,Passenger,1.0,0.0,1.0,95.0,96.0,1.04,2023,11
2019-07-31,Middlesex,MA,Passenger,1.0,1.0,2.0,115.0,117.0,1.71,2019,7
2022-12-31,Maui,HI,Passenger,1.0,0.0,1.0,27.0,28.0,3.57,2022,12
2019-08-31,Lee,FL,Passenger,1.0,0.0,1.0,51.0,52.0,1.92,2019,8
2023-05-31,Marion,IA,Passenger,1.0,0.0,1.0,0.0,1.0,100.0,2023,5
2017-01-31,Skamania,WA,Passenger,7.0,7.0,14.0,8547.0,8561.0,0.16,2017,1
2018-05-31,Riverside,CA,Passenger,2.0,2.0,4.0,702.0,706.0,0.57,2018,5
2021-05-31,Asotin,WA,Passenger,19.0,14.0,33.0,12692.0,12725.0,0.26,2021,5
2018-08-31,Riverside,CA,Passenger,2.0,2.0,4.0,691.0,695.0,0.58,2018,8
2019-03-31,Pacific,WA,Passenger,23.0,26.0,49.0,15845.0,15894.0,0.31,2019,3
2017-07-31,Lewis,WA,Truck,0.0,0.0,0.0,24920.0,24920.0,0.0,2017,7
2023-05-31,Onslow,NC,Passenger,0.0,1.0,1.0,147.0,148.0,0.68,2023,5
2023-04-30,Allen,IN,Passenger,1.0,0.0,1.0,15.0,16.0,6.25,2023,4
2022-10-31,Parker,TX,Passenger,0.0,1.0,1.0,20.0,21.0,4.76,2022,10
2020-04-30,Putnam,TN,Passenger,0.0,1.0,1.0,3.0,4.0,25.0,2020,4
2022-09-30,Ray,MO,Passenger,0.0,1.0,1.0,1.0,2.0,50.0,2022,9
2022-03-31,DeKalb,GA,Passenger,1.0,0.0,1.0,56.0,57.0,1.75,2022,3
2020-11-30,Asotin,WA,Passenger,17.0,14.0,31.0,12404.0,12435.0,0.25,2020,11
2021-04-30,Sedgwick,KS,Passenger,1.0,1.0,2.0,91.0,93.0,2.15,2021,4
2020-01-31,Douglas,WA,Passenger,69.0,39.0,108.0,28362.0,28470.0,0.38,2020,1
2022-01-31,Thurston,WA,Truck,3.0,0.0,3.0,55866.0,55869.0,0.01,2022,1
2022-07-31,Kitsap,WA,Truck,13.0,0.0,13.0,53331.0,53344.0,0.02,2022,7
2017-10-31,Los Angeles,CA,Passenger,4.0,2.0,6.0,1246.0,1252.0,0.48,2017,10
2023-07-31,Alexandria,VA,Passenger,3.0,1.0,4.0,85.0,89.0,4.49,2023,7
2019-08-31,Jefferson,NY,Passenger,0.0,2.0,2.0,219.0,221.0,0.9,2019,8
2021-12-31,Platte,MO,Passenger,1.0,0.0,1.0,20.0,21.0,4.76,2021,12
2019-12-31,Tulsa,OK,Passenger,1.0,1.0,2.0,52.0,54.0,3.7,2019,12
2018-02-28,Marin,CA,Passenger,1.0,0.0,1.0,55.0,56.0,1.79,2018,2
2023-10-31,Lincoln,OR,Passenger,0.0,1.0,1.0,13.0,14.0,7.14,2023,10
2019-08-31,Okanogan,WA,Truck,0.0,0.0,0.0,16475.0,16475.0,0.0,2019,8
2017-04-30,Lewis,WA,Truck,0.0,0.0,0.0,24804.0,24804.0,0.0,2017,4
2020-09-30,Kittitas,WA,Passenger,113.0,48.0,161.0,29697.0,29858.0,0.54,2020,9
2021-11-30,Harnett,NC,Passenger,1.0,1.0,2.0,170.0,172.0,1.16,2021,11
2020-02-29,Tarrant,TX,Passenger,3.0,0.0,3.0,191.0,194.0,1.55,2020,2
2018-06-30,Dallas,TX,Passenger,0.0,1.0,1.0,197.0,198.0,0.51,2018,6
2020-11-30,Jefferson,NY,Passenger,0.0,1.0,1.0,211.0,212.0,0.47,2020,11
2021-12-31,Boone,MO,Passenger,0.0,1.0,1.0,11.0,12.0,8.33,2021,12
2023-02-28,Franklin,WA,Passenger,275.0,128.0,403.0,61826.0,62229.0,0.65,2023,2
2019-03-31,Pacific,WA,Truck,0.0,0.0,0.0,7651.0,7651.0,0.0,2019,3
2017-07-31,San Juan,WA,Passenger,112.0,39.0,151.0,13560.0,13711.0,1.1,2017,7
2019-10-31,Lewis,WA,Truck,0.0,0.0,0.0,26042.0,26042.0,0.0,2019,10
2021-09-30,Monterey,CA,Passenger,0.0,3.0,3.0,153.0,156.0,1.92,2021,9
2017-02-28,Yakima,WA,Truck,0.0,0.0,0.0,57222.0,57222.0,0.0,2017,2
2023-03-31,Franklin,WA,Passenger,285.0,131.0,416.0,61876.0,62292.0,0.67,2023,3
2018-10-31,Mecklenburg,NC,Passenger,1.0,0.0,1.0,81.0,82.0,1.22,2018,10
2019-03-31,Hardin,KY,Passenger,0.0,1.0,1.0,97.0,98.0,1.02,2019,3
2022-04-30,Howard,MD,Passenger,0.0,2.0,2.0,66.0,68.0,2.94,2022,4
2024-01-31,Montgomery,OH,Passenger,0.0,1.0,1.0,35.0,36.0,2.78,2024,1
2022-02-28,Hamilton,IN,Passenger,2.0,0.0,2.0,25.0,27.0,7.41,2022,2
2022-07-31,Oldham,KY,Passenger,0.0,1.0,1.0,4.0,5.0,20.0,2022,7
2020-10-31,Fairbanks North Star,AK,Passenger,0.0,1.0,1.0,95.0,96.0,1.04,2020,10
2021-09-30,Benton,WA,Passenger,579.0,414.0,993.0,136200.0,137193.0,0.72,2021,9
2017-01-31,Dallas,TX,Passenger,1.0,0.0,1.0,232.0,233.0,0.43,2017,1
2023-08-31,Snohomish,WA,Truck,198.0,0.0,198.0,121099.0,121297.0,0.16,2023,8
2020-12-31,Utah,UT,Passenger,0.0,1.0,1.0,131.0,132.0,0.76,2020,12
2018-12-31,Volusia,FL,Passenger,0.0,1.0,1.0,40.0,41.0,2.44,2018,12
2024-01-31,Yuba,CA,Passenger,1.0,0.0,1.0,43.0,44.0,2.27,2024,1
2021-05-31,Ulster,NY,Passenger,1.0,0.0,1.0,13.0,14.0,7.14,2021,5
2017-02-28,Sumter,FL,Passenger,0.0,1.0,1.0,10.0,11.0,9.09,2017,2
2022-12-31,Orange,NC,Passenger,0.0,1.0,1.0,6.0,7.0,14.29,2022,12
2020-10-31,Jones,GA,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2020,10
2022-12-31,Contra Costa,CA,Passenger,0.0,3.0,3.0,211.0,214.0,1.4,2022,12
2020-06-30,Clallam,WA,Truck,1.0,0.0,1.0,21754.0,21755.0,0.0,2020,6
2019-02-28,Goochland,VA,Passenger,1.0,1.0,2.0,247.0,249.0,0.8,2019,2
2018-10-31,Portsmouth,VA,Passenger,0.0,1.0,1.0,78.0,79.0,1.27,2018,10
2022-08-31,Los Angeles,CA,Passenger,5.0,7.0,12.0,793.0,805.0,1.49,2022,8
2019-12-31,DuPage,IL,Passenger,3.0,0.0,3.0,66.0,69.0,4.35,2019,12
2022-11-30,Broward,FL,Passenger,1.0,0.0,1.0,75.0,76.0,1.32,2022,11
2019-02-28,Hennepin,MN,Passenger,2.0,0.0,2.0,103.0,105.0,1.9,2019,2
2019-04-30,Guadalupe,TX,Passenger,1.0,0.0,1.0,81.0,82.0,1.22,2019,4
2022-10-31,Marin,CA,Passenger,1.0,1.0,2.0,30.0,32.0,6.25,2022,10
